Clone_number,Combination,Rep_1,Rep_2,Rep_3,Rep_4,Temperature,Clone_A,Clone_B,Clone_C,Clone_D,Clone_E
1,A,NA,23,44,40,22,1,0,0,0,0
1,B,57,68,48,196,22,0,1,0,0,0
1,C,72,215,252,228,22,0,0,1,0,0
1,D,71,342,103,80,22,0,0,0,1,0
1,E,38,63,67,251,22,0,0,0,0,1
2,AB,78,93,NA,NA,22,1,1,0,0,0
2,AC,167,149,NA,NA,22,1,0,1,0,0
2,AD,214,224,NA,NA,22,1,0,0,1,0
2,AE,196,132,NA,NA,22,1,0,0,0,1
2,BC,208,345,NA,NA,22,0,1,1,0,0
2,BD,385,242,NA,NA,22,0,1,0,1,0
2,BE,310,249,NA,NA,22,0,1,0,0,1
2,CE,196,272,NA,NA,22,0,0,1,0,1
2,CD,472,253,NA,NA,22,0,0,1,1,0
2,DE,201,188,NA,NA,22,0,0,0,1,1
3,ABC,234,305,NA,NA,22,1,1,1,0,0
3,ABD,334,260,NA,NA,22,1,1,0,1,0
3,ABE,227,202,NA,NA,22,1,1,0,0,1
3,ACD,320,245,NA,NA,22,1,0,1,1,0
3,ACE,230,199,NA,NA,22,1,0,1,0,1
3,BCD,486,345,NA,NA,22,0,1,1,1,0
3,BCE,250,315,NA,NA,22,0,1,1,0,1
3,CDE,465,391,NA,NA,22,0,0,1,1,1
3,ADE,286,331,NA,NA,22,1,0,0,1,1
3,BDE,280,444,NA,NA,22,0,1,0,1,1
4,ABCD,304,164,271,284,22,1,1,1,1,0
4,ABCE,231,244,274,262,22,1,1,1,0,1
4,ABDE,272,378,268,265,22,1,1,0,1,1
4,ACDE,306,438,392,342,22,1,0,1,1,1
4,BCDE,460,416,426,384,22,0,1,1,1,1
5,ABCDE,263,236,207,372,22,1,1,1,1,1
1,A,103,144,105,127,25,1,0,0,0,0
1,B,331,364,352,311,25,0,1,0,0,0
1,C,554,484,458,468,25,0,0,1,0,0
1,D,858,868,705,578,25,0,0,0,1,0
1,E,599,273,535,258,25,0,0,0,0,1
2,AB,160,236,NA,NA,25,1,1,0,0,0
2,AC,404,436,NA,NA,25,1,0,1,0,0
2,AD,396,504,NA,NA,25,1,0,0,1,0
2,AE,412,449,NA,NA,25,1,0,0,0,1
2,BC,586,550,NA,NA,25,0,1,1,0,0
2,BD,724,523,NA,NA,25,0,1,0,1,0
2,BE,662,617,NA,NA,25,0,1,0,0,1
2,CE,936,683,NA,NA,25,0,0,1,0,1
2,CD,764,716,NA,NA,25,0,0,1,1,0
2,DE,703,546,NA,NA,25,0,0,0,1,1
3,ABC,420,448,NA,NA,25,1,1,1,0,0
3,ABD,650,546,NA,NA,25,1,1,0,1,0
3,ABE,586,394,NA,NA,25,1,1,0,0,1
3,ACD,745,553,NA,NA,25,1,0,1,1,0
3,ACE,410,710,NA,NA,25,1,0,1,0,1
3,BCD,462,505,NA,NA,25,0,1,1,1,0
3,BCE,640,542,NA,NA,25,0,1,1,0,1
3,CDE,688,572,NA,NA,25,0,0,1,1,1
3,ADE,667,475,NA,NA,25,1,0,0,1,1
3,BDE,578,622,NA,NA,25,0,1,0,1,1
4,ABCD,453,402,428,496,25,1,1,1,1,0
4,ABCE,509,614,520,595,25,1,1,1,0,1
4,ABDE,482,546,463,520,25,1,1,0,1,1
4,ACDE,458,484,570,496,25,1,0,1,1,1
4,BCDE,450,522,246,539,25,0,1,1,1,1
5,ABCDE,501,616,487,626,25,1,1,1,1,1
1,A,52,49,57,41,19,1,0,0,0,0
1,B,46,38,50,77,19,0,1,0,0,0
1,C,38,24,60,19,19,0,0,1,0,0
1,D,104,91,90,73,19,0,0,0,1,0
1,E,52,16,30,15,19,0,0,0,0,1
2,AB,42,34,NA,NA,19,1,1,0,0,0
